begin_date,end_date,duration,avg_temp
2023-07-13,2023-07-31,19,93.27368632998987
2024-08-31,2024-09-10,11,96.81404958677686
2024-07-03,2024-07-11,9,94.09848484848484
2024-07-18,2024-07-26,9,92.80896171012449
2024-09-30,2024-10-07,8,92.24431818181819
2025-08-06,2025-08-11,6,91.73106060606061
2025-08-29,2025-09-03,6,92.15979563072587
2025-08-20,2025-08-25,6,94.13257575757575
2024-08-02,2024-08-07,6,93.87878787878788
2023-08-27,2023-08-30,4,94.70930232558139
2025-06-15,2025-06-18,4,90.76136363636364
2023-08-15,2023-08-17,3,92.27464008859357
2024-06-22,2024-06-24,3,92.08333333333333
2024-08-09,2024-08-11,3,92.51515151515152
2024-08-19,2024-08-21,3,93.13636363636364
2023-07-01,2023-07-02,2,90.5
2025-07-09,2025-07-10,2,91.2840909090909
2025-09-16,2025-09-17,2,90.2840909090909
2023-09-09,2023-09-10,2,91.34883720930233
2023-08-05,2023-08-06,2,91.1547619047619
2025-05-30,2025-05-30,1,90.88636363636364
2025-05-10,2025-05-10,1,92.06818181818181
2024-07-13,2024-07-13,1,90.83720930232558
2025-08-27,2025-08-27,1,90.20454545454545
2024-08-16,2024-08-16,1,90.45454545454545
