begin_date,end_date,duration,avg_temp
2024-09-03,2024-09-10,8,98.90056818181819
2024-07-20,2024-07-25,6,93.62817124735729
2023-07-14,2023-07-17,4,93.98255813953489
2025-08-21,2025-08-24,4,95.42613636363636
2023-07-24,2023-07-27,4,94.74294019933555
2023-08-27,2023-08-30,4,94.70930232558139
2024-08-03,2024-08-06,4,95.2215909090909
2024-10-01,2024-10-03,3,93.79545454545455
2024-07-09,2024-07-11,3,94.76515151515152
2024-07-05,2024-07-07,3,95.34090909090908
2023-07-19,2023-07-20,2,93.62790697674419
2023-07-29,2023-07-30,2,94.0952380952381
2025-08-31,2025-09-01,2,93.05681818181819
2024-06-23,2024-06-23,1,92.8409090909091
2024-08-10,2024-08-10,1,94.38636363636364
2024-08-20,2024-08-20,1,95.04545454545455
2023-08-16,2023-08-16,1,93.23809523809524
2025-08-07,2025-08-07,1,94.11363636363636
2023-07-22,2023-07-22,1,92.93023255813954
