begin_date,end_date,duration,avg_temp
2020-08-12,2020-08-20,9,105.38763285024154
2023-07-14,2023-07-22,9,102.93388888888889
2022-08-30,2022-09-07,9,103.89330917874396
2024-07-05,2024-07-11,7,104.51190476190477
2024-09-04,2024-09-09,6,105.57641633728589
2023-07-24,2023-07-29,6,103.5425
2021-06-15,2021-06-19,5,103.48333333333332
2024-08-03,2024-08-06,4,104.52536231884058
2024-07-23,2024-07-26,4,103.04685441370225
2023-08-27,2023-08-30,4,104.36017786561266
2021-08-02,2021-08-05,4,103.77083333333333
2020-07-30,2020-08-01,3,105.27333333333333
2020-08-25,2020-08-27,3,102.96888888888888
2020-09-04,2020-09-06,3,109.98277777777777
2023-08-15,2023-08-17,3,102.85507246376812
2021-08-26,2021-08-28,3,103.17623188405797
2024-07-20,2024-07-21,2,103.82427536231884
2022-07-16,2022-07-17,2,101.97999999999999
2024-10-01,2024-10-02,2,104.47727272727272
2024-10-05,2024-10-06,2,102.69047619047619
2021-06-27,2021-06-28,2,103.46000000000001
2020-09-30,2020-10-01,2,102.41749999999999
2020-07-11,2020-07-12,2,105.5
2019-08-14,2019-08-15,2,102.53916666666666
2019-08-05,2019-08-06,2,102.64583333333333
2019-07-27,2019-07-28,2,102.30434782608695
2021-09-05,2021-09-05,1,102.04
2019-07-15,2019-07-15,1,102.17391304347827
2021-07-10,2021-07-10,1,102.16
2024-07-03,2024-07-03,1,101.95833333333333
2019-09-04,2019-09-04,1,101.83333333333333
2019-08-21,2019-08-21,1,102.0
2024-08-20,2024-08-20,1,102.91666666666667
2019-07-12,2019-07-12,1,101.69565217391305
