begin_date,end_date,duration,avg_temp
2022-08-06,2022-09-09,35,99.91428571428571
2024-06-21,2024-07-15,25,101.53333333333335
2022-07-08,2022-07-30,23,98.10144927536233
2023-07-10,2023-08-01,23,98.07246376811594
2020-07-04,2020-07-19,16,96.52083333333333
2024-07-30,2024-08-11,13,98.33333333333333
2020-07-23,2020-08-04,13,96.56410256410255
2020-08-21,2020-09-01,12,94.16666666666667
2021-07-02,2021-07-12,11,98.48484848484848
2021-09-04,2021-09-14,11,98.54545454545455
2021-08-06,2021-08-16,11,97.06060606060606
2022-06-20,2022-06-29,10,100.16666666666666
2024-07-17,2024-07-26,10,102.2
2023-08-22,2023-08-31,10,94.93333333333334
2021-07-16,2021-07-25,10,97.7
2020-09-27,2020-10-06,10,95.4
2021-07-27,2021-08-04,9,98.81481481481482
2020-06-18,2020-06-26,9,98.51851851851852
2019-07-21,2019-07-29,9,98.37037037037038
2024-09-30,2024-10-08,9,99.88888888888889
2019-07-10,2019-07-17,8,94.33333333333333
2020-08-12,2020-08-19,8,104.54166666666666
2021-05-30,2021-06-06,8,96.08333333333333
2019-08-30,2019-09-06,8,95.08333333333333
2024-09-03,2024-09-09,7,101.38095238095238
2019-08-21,2019-08-27,7,99.09523809523809
2024-08-26,2024-09-01,7,96.30952380952381
2023-09-08,2023-09-14,7,93.19047619047619
2022-10-05,2022-10-11,7,93.14285714285714
2021-06-15,2021-06-21,7,100.19047619047619
2021-08-26,2021-08-31,6,98.16666666666667
2021-06-25,2021-06-30,6,94.72222222222223
2023-08-12,2023-08-17,6,102.3888888888889
2020-10-13,2020-10-18,6,93.0
2023-06-29,2023-07-04,6,100.5
2019-08-02,2019-08-07,6,96.44444444444444
2020-09-03,2020-09-08,6,98.94444444444444
2019-08-11,2019-08-16,6,99.66666666666667
2020-05-24,2020-05-28,5,100.0
2021-09-20,2021-09-24,5,95.13333333333333
2023-10-04,2023-10-08,5,93.4
2022-06-07,2022-06-11,5,97.46666666666667
2019-06-22,2019-06-25,4,93.5
2020-08-07,2020-08-10,4,97.41666666666666
2019-09-23,2019-09-26,4,94.66666666666667
2019-06-09,2019-06-12,4,99.66666666666666
2024-06-04,2024-06-07,4,98.75
2024-08-13,2024-08-16,4,93.58333333333333
2022-05-22,2022-05-25,4,96.91666666666666
2023-08-04,2023-08-07,4,99.5
2019-07-04,2019-07-06,3,93.8888888888889
2019-06-17,2019-06-19,3,97.22222222222221
2024-09-22,2024-09-24,3,97.55555555555556
2022-08-02,2022-08-04,3,101.66666666666667
2022-09-24,2022-09-26,3,95.33333333333333
2022-05-17,2022-05-19,3,94.8888888888889
2024-06-10,2024-06-12,3,98.1111111111111
2019-09-12,2019-09-14,3,96.11111111111113
2020-05-07,2020-05-09,3,94.22222222222221
2020-06-02,2020-06-04,3,100.0
2020-06-09,2020-06-11,3,95.44444444444444
2020-09-15,2020-09-17,3,91.22222222222223
2021-05-10,2021-05-12,3,93.0
2024-08-19,2024-08-21,3,92.0
2024-05-10,2024-05-11,2,94.16666666666666
2024-05-30,2024-05-31,2,94.16666666666667
2024-09-13,2024-09-14,2,93.16666666666666
2024-09-27,2024-09-28,2,95.16666666666667
2023-06-15,2023-06-16,2,93.83333333333333
2022-05-14,2022-05-15,2,91.16666666666667
2023-06-03,2023-06-04,2,93.66666666666666
2023-05-16,2023-05-17,2,93.5
2019-06-04,2019-06-05,2,96.5
2020-04-24,2020-04-25,2,91.83333333333334
2020-06-30,2020-07-01,2,94.66666666666666
2022-09-11,2022-09-12,2,93.33333333333334
2022-06-14,2022-06-15,2,94.33333333333334
2020-09-23,2020-09-24,2,90.83333333333333
2021-05-04,2021-05-05,2,92.83333333333334
2021-06-12,2021-06-13,2,90.83333333333333
2024-06-16,2024-06-16,1,90.66666666666667
2019-07-31,2019-07-31,1,94.33333333333333
2024-09-20,2024-09-20,1,90.66666666666667
2020-04-28,2020-04-28,1,92.66666666666667
2020-09-21,2020-09-21,1,91.66666666666667
2021-04-18,2021-04-18,1,90.66666666666667
2021-10-02,2021-10-02,1,91.0
2024-06-14,2024-06-14,1,90.33333333333333
2023-05-22,2023-05-22,1,92.66666666666667
2019-06-01,2019-06-01,1,91.66666666666667
2022-06-01,2022-06-01,1,94.0
2024-05-15,2024-05-15,1,91.0
2023-10-19,2023-10-19,1,92.0
2022-09-30,2022-09-30,1,92.33333333333333
2023-09-05,2023-09-05,1,90.33333333333333
2023-04-27,2023-04-27,1,91.66666666666667
2023-08-19,2023-08-19,1,94.66666666666667
2023-05-13,2023-05-13,1,95.66666666666667
2023-08-10,2023-08-10,1,92.0
2019-04-24,2019-04-24,1,90.66666666666667
