begin_date,end_date,duration,avg_temp
2022-08-30,2022-09-08,10,94.67929508455825
2020-08-13,2020-08-21,9,95.93993993993995
2024-09-03,2024-09-10,8,96.79623015873015
2020-09-29,2020-10-05,7,94.71600171600173
2024-08-02,2024-08-06,5,93.38333333333334
2020-10-13,2020-10-16,4,92.4283033033033
2021-08-02,2021-08-05,4,92.59054054054054
2020-09-04,2020-09-07,4,98.99324324324324
2023-08-27,2023-08-30,4,93.68634423897582
2020-07-30,2020-08-01,3,93.47747747747748
2020-08-25,2020-08-27,3,92.54954954954955
2023-07-25,2023-07-27,3,92.77192982456141
2020-09-16,2020-09-18,3,95.09909909909909
2024-08-19,2024-08-21,3,92.56111111111112
2024-07-09,2024-07-11,3,92.62162162162161
2022-08-11,2022-08-12,2,91.66666666666667
2021-09-21,2021-09-22,2,92.54166666666666
2024-07-05,2024-07-06,2,93.55405405405405
2021-09-04,2021-09-05,2,91.80555555555554
2021-08-26,2021-08-27,2,93.625
2024-07-24,2024-07-25,2,93.40277777777777
2021-06-15,2021-06-16,2,94.0
2023-08-16,2023-08-17,2,91.77777777777777
2019-09-14,2019-09-15,2,92.28378378378378
2020-07-11,2020-07-12,2,94.87837837837837
2024-10-01,2024-10-02,2,93.12857142857143
2024-07-20,2024-07-20,1,92.8108108108108
2024-06-23,2024-06-23,1,91.69444444444444
2023-09-09,2023-09-09,1,91.44736842105263
2019-06-10,2019-06-10,1,92.35135135135135
2023-07-29,2023-07-29,1,91.8157894736842
2023-07-20,2023-07-20,1,91.55263157894737
2023-07-17,2023-07-17,1,91.78947368421052
2021-09-11,2021-09-11,1,92.16666666666667
2019-07-24,2019-07-24,1,91.43589743589743
2021-07-10,2021-07-10,1,91.36111111111111
2019-09-04,2019-09-04,1,92.77777777777777
2019-08-31,2019-08-31,1,92.67567567567568
2019-08-21,2019-08-21,1,91.43243243243244
2019-08-15,2019-08-15,1,91.71052631578948
2021-09-09,2021-09-09,1,91.55555555555556
