begin_date,end_date,duration,avg_temp
2024-09-30,2024-10-07,8,90.5
2019-10-22,2019-10-29,8,81.1875
2020-08-13,2020-08-19,7,82.85714285714286
2022-09-04,2022-09-08,5,87.8
2019-06-09,2019-06-13,5,90.1
2019-09-23,2019-09-26,4,83.875
2019-10-31,2019-11-03,4,81.0
2020-10-15,2020-10-18,4,89.25
2021-09-30,2021-10-03,4,81.875
2019-10-06,2019-10-08,3,82.5
2019-09-12,2019-09-14,3,83.66666666666667
2020-09-05,2020-09-07,3,89.83333333333333
2023-10-04,2023-10-06,3,89.66666666666667
2020-10-01,2020-10-03,3,81.5
2021-03-31,2021-04-01,2,77.5
2019-10-10,2019-10-11,2,77.25
2021-10-15,2021-10-16,2,80.0
2021-09-20,2021-09-21,2,78.0
2022-10-18,2022-10-19,2,84.5
2020-11-01,2020-11-02,2,77.5
2020-09-27,2020-09-28,2,82.0
2022-04-06,2022-04-07,2,82.5
2020-09-19,2020-09-20,2,78.25
2022-06-09,2022-06-10,2,81.5
2022-06-21,2022-06-22,2,85.5
2019-08-14,2019-08-15,2,84.5
2023-10-18,2023-10-19,2,81.5
2023-08-30,2023-08-30,1,76.5
2019-09-21,2019-09-21,1,77.0
2023-11-01,2023-11-01,1,77.0
2024-05-09,2024-05-09,1,82.0
2024-09-03,2024-09-03,1,80.0
2024-09-23,2024-09-23,1,89.0
2024-09-27,2024-09-27,1,86.0
2023-08-23,2023-08-23,1,78.5
2022-03-22,2022-03-22,1,79.0
2022-09-23,2022-09-23,1,82.0
2022-05-24,2022-05-24,1,79.0
2022-05-18,2022-05-18,1,77.0
2019-11-05,2019-11-05,1,76.5
2019-06-18,2019-06-18,1,80.5
2020-09-12,2020-09-12,1,76.5
2020-06-18,2020-06-18,1,82.0
2020-06-03,2020-06-03,1,82.0
2020-05-25,2020-05-25,1,81.0
2021-08-28,2021-08-28,1,84.0
