"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-01-07",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-01-08",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-01-09",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-01-10",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-01-17",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-09",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-10",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-20",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-21",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-26",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-27",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-02-28",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-09",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-10",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-11",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-21",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-23",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-26",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-27",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-28",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-03-29",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-04-02",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-04-06",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-04-09",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-06",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-10",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-16",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-21",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-23",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-05-24",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-06-01",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-06-02",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-06-12",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-06-19",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-07-23",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-08-30",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-04",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-05",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-16",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-17",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-19",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-09-29",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-10-17",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-10-28",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-11-20",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-11-27",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-11-28",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-01",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-02",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-03",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-04",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-08",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-09",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-11",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-12",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-13",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-14",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-18",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-19",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-23",,,
"US1CASA0001","CARMICHAEL 1.6 SW, CA US","2019-12-25",,,
