"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-01",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-02",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-03",,"61","32","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-04",,"61","32","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-05",,"51",,"9"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-06",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-07",,"53",,"51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-08",,"56","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-09",,"59","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-10",,"58","47","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-11",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-12",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-13",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-14",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-15",,"62","45","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-16",,"62","45","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-17",,"59","51","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-18",,"61","51","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-19",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-20",,"60","50","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-21",,"53","46","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-22",,,,"50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-23",,"58","42","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-24",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-25",,"61","42","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-26",,"64","44","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-27",,"65","48","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-28",,,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-29",,"66","48","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-30",,"57","51","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-01-31",,"61","52","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-02-01",,"60","51","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2019-02-02",,"61","51","56"
