Id,GRID_ID,ORIG_FID,NEAR_FID,NEAR_DIST,NEAR_FC
640,XP-1056,0,53136,5490.231223519213927,WestCoastline_Projected
641,XQ-1056,1,53135,4530.808143931627455,WestCoastline_Projected
642,XR-1056,2,53135,3533.394738911224522,WestCoastline_Projected
643,XS-1056,3,53135,2536.589745463887994,WestCoastline_Projected
644,XT-1056,4,53135,1541.823874182018471,WestCoastline_Projected
645,XU-1056,5,53135,543.193498212013196,WestCoastline_Projected
646,XV-1056,6,53135,459.229111125868144,WestCoastline_Projected
647,XW-1056,7,53135,1458.329035749856303,WestCoastline_Projected
648,XX-1056,8,53135,2458.161055853899143,WestCoastline_Projected
649,XY-1056,9,111,3182.825324019191612,WestCoastline_Projected
650,XZ-1056,10,111,3829.660695573475550,WestCoastline_Projected
651,YA-1056,11,111,4604.587391202686376,WestCoastline_Projected
652,YB-1056,12,111,5453.269573680106078,WestCoastline_Projected
653,YC-1056,13,111,6346.185708220935339,WestCoastline_Projected
654,YD-1056,14,111,7267.048716172892455,WestCoastline_Projected
655,YE-1056,15,111,8206.456058691384897,WestCoastline_Projected
656,YF-1056,16,111,9158.703240264692795,WestCoastline_Projected
657,YG-1056,17,111,10120.166453336496488,WestCoastline_Projected
658,YH-1056,18,92,10198.494160284471945,USAWaterBodies_Projected_4counties
659,YI-1056,19,92,9700.094645793904419,USAWaterBodies_Projected_4counties
660,YJ-1056,20,92,9283.016165953966265,USAWaterBodies_Projected_4counties
661,YK-1056,21,92,8958.623897528334055,USAWaterBodies_Projected_4counties
662,YL-1056,22,92,8737.247572168758779,USAWaterBodies_Projected_4counties
663,YM-1056,23,92,8626.821438825076257,USAWaterBodies_Projected_4counties
664,YN-1056,24,92,8617.916530710210282,USAWaterBodies_Projected_4counties
665,YO-1056,25,92,8668.335308158026237,USAWaterBodies_Projected_4counties
666,YP-1056,26,92,8831.496250050930030,USAWaterBodies_Projected_4counties
667,YQ-1056,27,92,9102.231320652545037,USAWaterBodies_Projected_4counties
668,YR-1056,28,92,9471.320077722677524,USAWaterBodies_Projected_4counties
669,YS-1056,29,92,9927.799001524821506,USAWaterBodies_Projected_4counties
670,YT-1056,30,92,10460.233363299394114,USAWaterBodies_Projected_4counties
671,YU-1056,31,92,11057.656669235408117,USAWaterBodies_Projected_4counties
672,YV-1056,32,92,11710.126387648035234,USAWaterBodies_Projected_4counties
673,YW-1056,33,92,12408.962447146632257,USAWaterBodies_Projected_4counties
674,YX-1056,34,92,13146.772912570593689,USAWaterBodies_Projected_4counties
675,YY-1056,35,92,13715.721629610652599,USAWaterBodies_Projected_4counties
676,YZ-1056,36,92,14297.818484554532915,USAWaterBodies_Projected_4counties
677,ZA-1056,37,92,14921.731883976253812,USAWaterBodies_Projected_4counties
678,ZB-1056,38,92,15584.882143194980017,USAWaterBodies_Projected_4counties
679,ZC-1056,39,92,16282.475868776284187,USAWaterBodies_Projected_4counties
680,ZD-1056,40,92,17010.275994741714385,USAWaterBodies_Projected_4counties
681,ZE-1056,41,92,17764.570313331263606,USAWaterBodies_Projected_4counties
682,ZF-1056,42,89,18296.624681825316657,USAWaterBodies_Projected_4counties
683,ZG-1056,43,89,18008.957636342653132,USAWaterBodies_Projected_4counties
