"LCZ","Response","Predictor","Effect_Range","Effect_SD","Relative_Importance_Pct"
"LCZ D","Night","Tree_Canopy",0.390503574745271,0.0315457803519849,7.5376546303262
"LCZ D","Night","Impervious",2.32825372060306,0.463965960099572,44.9408752509514
"LCZ D","Night","Bldg_Footprint",2.46194670207497,0.317692958777484,47.5214701187224
"LCZ C","Night","Tree_Canopy",1.68551574752318,0.504799946828612,17.2097136673764
"LCZ C","Night","Impervious",4.77314749127687,0.669005231793966,48.7355290140362
"LCZ C","Night","Bldg_Footprint",3.33531579013831,0.539594847206927,34.0547573185875
"LCZ 5","Night","Tree_Canopy",1.14089602064477,0.225116739422166,22.3903566001474
"LCZ 5","Night","Impervious",3.0859649429159,0.461209494199362,60.5627982542979
"LCZ 5","Night","Bldg_Footprint",0.868618492256754,0.210269414129765,17.0468451455548
"LCZ 9","Night","Tree_Canopy",1.54421979501843,0.486660409740988,20.1221107862089
"LCZ 9","Night","Impervious",3.68702938329024,0.825625277452952,48.0442058584596
"LCZ 9","Night","Bldg_Footprint",2.44299440093249,0.512049214623987,31.8336833553315
"LCZ G","Night","Tree_Canopy",1.49208697121394,0.481574594820781,52.8272096707182
"LCZ G","Night","Impervious",0.469807622089812,0.0890914812016763,16.6334980707244
"LCZ G","Night","Bldg_Footprint",0.86257215501476,0.113936019349984,30.5392922585573
"LCZ D","Morning","Tree_Canopy",1.69328674866286,0.331803483485315,25.764427277192
"LCZ D","Morning","Impervious",1.83543921189868,0.247277574973592,27.9273667818005
"LCZ D","Morning","Bldg_Footprint",3.04346262506189,0.280923073130125,46.3082059410075
"LCZ C","Morning","Tree_Canopy",2.71523129279445,0.44605914928647,54.6542029649838
"LCZ C","Morning","Impervious",1.39005856123929,0.24173850434789,27.9801366980404
"LCZ C","Morning","Bldg_Footprint",0.862729338440918,0.195687912938413,17.3656603369758
"LCZ 5","Morning","Tree_Canopy",1.6849330702851,0.424384367375554,24.2839419195107
"LCZ 5","Morning","Impervious",3.16929982786791,0.464847473081951,45.6772404214471
"LCZ 5","Morning","Bldg_Footprint",2.08423317078186,0.362277779862741,30.0388176590422
"LCZ 9","Morning","Tree_Canopy",2.92911565569034,0.573694016740108,32.4887765203311
"LCZ 9","Morning","Impervious",4.51280788027615,0.692229236759007,50.0545638806216
"LCZ 9","Morning","Bldg_Footprint",1.57385350893803,0.279891627478251,17.4566595990474
"LCZ G","Morning","Tree_Canopy",1.58971799729796,0.550017113921589,27.8376362046913
"LCZ G","Morning","Impervious",1.91147797926072,0.285657701705484,33.4719923221482
"LCZ G","Morning","Bldg_Footprint",2.20948285266627,0.349727479296369,38.6903714731606
"LCZ D","Evening","Tree_Canopy",1.36475061848103,0.266591214554886,22.4953992600562
"LCZ D","Evening","Impervious",2.96930005641375,0.313620974968567,48.9434402061517
"LCZ D","Evening","Bldg_Footprint",1.73274815229625,0.219496148971758,28.5611605337922
"LCZ C","Evening","Tree_Canopy",1.31946846714837,0.356795059947379,20.2820906408727
"LCZ C","Evening","Impervious",2.6448220989449,0.401214217013742,40.654644559802
"LCZ C","Evening","Bldg_Footprint",2.54129355002028,0.371116744975353,39.0632647993253
"LCZ 5","Evening","Tree_Canopy",1.02626247302642,0.20650669147861,25.4671741732627
"LCZ 5","Evening","Impervious",2.09502026266206,0.307249314711772,51.9888891273485
"LCZ 5","Evening","Bldg_Footprint",0.908463423207579,0.219904623758801,22.5439366993888
"LCZ 9","Evening","Tree_Canopy",0.910055579770337,0.289592354463872,13.6759341679572
"LCZ 9","Evening","Impervious",2.80009061700194,0.561191678853643,42.0785892572596
"LCZ 9","Evening","Bldg_Footprint",2.94428463474344,0.513283998005327,44.2454765747832
"LCZ G","Evening","Tree_Canopy",3.39498254154768,0.886362838644583,42.3758868266968
"LCZ G","Evening","Impervious",3.51605600596883,0.85336173814785,43.887115636636
"LCZ G","Evening","Bldg_Footprint",1.10055199554873,0.0999251369385798,13.7369975366672
"LCZ D","Average","Tree_Canopy",0.904351079386147,0.18875382906219,22.8017135039715
"LCZ D","Average","Impervious",2.3048304543627,0.329768417644022,58.1124796481462
"LCZ D","Average","Bldg_Footprint",0.756972497739329,0.0505821817068482,19.0858068478823
"LCZ C","Average","Tree_Canopy",1.23456248016779,0.268201708084217,22.1673370272519
"LCZ C","Average","Impervious",2.68180880628555,0.356224831433274,48.1535447630845
"LCZ C","Average","Bldg_Footprint",1.65291508587929,0.343373555425659,29.6791182096636
"LCZ 5","Average","Tree_Canopy",0.659256758657007,0.156839428272548,14.8613176563423
"LCZ 5","Average","Impervious",2.79804986202115,0.410384572264352,63.0751331279339
"LCZ 5","Average","Bldg_Footprint",0.978751970503769,0.160323577328593,22.0635492157238
"LCZ 9","Average","Tree_Canopy",0.438405050340698,0.161269742327484,6.98386438896045
"LCZ 9","Average","Impervious",3.77717944089965,0.683088517345796,60.1710882835689
"LCZ 9","Average","Bldg_Footprint",2.06181475256076,0.307810739410149,32.8450473274707
"LCZ G","Average","Tree_Canopy",2.13256169948332,0.60296725649577,43.0589377143536
"LCZ G","Average","Impervious",1.4448081873333,0.348211246991901,29.1723825681786
"LCZ G","Average","Bldg_Footprint",1.37528759310174,0.169681244594587,27.7686797174678
